sector,latitude,longitude,avg_price,avg_pps,avg_area,listings
gwal pahari,28.4484,77.021,3.192222222222222,9585.777777777777,3056.1666666666665,18
manesar,28.3515,76.9428,0.962258064516129,4608.064516129032,2027.367741935484,31
sector 1,28.3663,76.9456,1.86,8249.833333333334,2327.8333333333335,6
sector 10,28.4537,77.0009,2.092857142857143,11866.57142857143,1908.857142857143,7
sector 102,28.475,76.9715,1.6966355140186915,10603.822429906542,1556.1308411214952,107
sector 103,28.4949,76.9845,1.4949999999999999,7445.785714285715,1865.4285714285713,42
sector 104,28.4788,76.996,1.6223880597014926,8873.89552238806,1835.5074626865671,67
sector 105,28.4952,77.0114,1.198,10168.95,1118.1255,20
sector 106,28.5007,77.0003,1.548421052631579,8591.0,1506.0526315789473,38
sector 107,28.5052,76.9729,0.7761016949152543,6643.9152542372885,1102.7966101694915,59
sector 108,28.5134,76.983,1.9967241379310345,10030.672413793103,1908.670400551724,58
sector 109,28.5073,77.0089,3.9868604651162793,12634.767441860466,2931.4418604651164,86
sector 11,28.4531,77.0202,1.446875,9226.5625,1394.1875,16
sector 110,28.5145,77.0197,2.507391304347826,8881.869565217392,2201.913043478261,23
sector 111,28.523799999999998,77.032,2.9,11692.545454545454,2346.6363636363635,22
sector 112,28.518900000000002,77.0183,4.514782608695652,12366.826086956522,3315.043043478261,23
sector 113,28.528700000000004,77.0233,2.465813953488372,12516.139534883721,2057.860465116279,43
sector 12,28.4723,77.032,1.63625,9942.375,1788.0625,32
sector 13,28.4757,77.0392,2.441111111111111,9015.666666666666,2022.6666666666667,9
sector 14,28.471099999999996,77.0454,4.5905555555555555,17150.777777777777,2714.3333333333335,18
sector 15,28.462100000000003,77.0464,2.716666666666667,11916.333333333334,1854.8333333333333,6
sector 17,28.4791,77.0608,4.694,17705.4,2488.7,10
sector 2,28.5095,77.03200000000001,2.4447540983606557,11355.983606557376,1818.639344262295,61
sector 21,28.5134,77.0723,1.0250000000000001,7641.5,1252.3333333333333,6
sector 22,28.5072,77.064,3.429,16245.1,2072.8,20
sector 23,28.5121,77.0478,3.3430769230769233,13456.23076923077,2385.6923076923076,13
sector 24,28.493900000000004,77.1038,4.782500000000001,17627.9,2550.1,20
sector 25,28.4844,77.086,8.663783783783783,30650.0,3395.8513513513512,37
sector 26,28.4757,77.1032,11.809999999999999,31881.85,4026.1,40
sector 27,28.4658,77.0917,6.125,28889.5,2196.0,2
sector 28,28.4728,77.0865,4.618461538461538,18738.897435897437,2239.0,39
sector 3,28.4909,77.0176,0.9712500000000001,8133.666666666667,1182.3333333333333,24
sector 30,28.4604,77.0579,1.568,11255.2,1339.6,5
sector 31,28.452800000000003,77.0498,3.5340000000000003,22197.3,1572.3,10
sector 33,28.442,77.0207,2.7479104477611944,12165.522388059702,1887.5286567164178,67
sector 36,28.416,76.9914,1.0518181818181818,9429.181818181818,977.0454545454545,22
sector 37,28.4375,76.9999,0.9713461538461539,6033.326923076923,1486.021153846154,52
sector 37d,28.4478,76.9703,1.2715873015873016,8126.809523809524,1546.968253968254,63
sector 38,28.4347,77.043,3.8899999999999997,22355.6,2056.3,10
sector 39,28.4434,77.0515,3.621818181818182,13861.181818181818,2635.5454545454545,11
sector 4,28.473800000000004,77.0107,1.1693333333333333,9137.377777777778,1027.5333333333333,45
sector 40,28.4498,77.0567,3.15,19005.2,1366.8,5
sector 41,28.4557,77.0632,6.140909090909091,24010.727272727272,2971.818181818182,11
sector 43,28.4629,77.0772,5.85551724137931,21125.58620689655,2470.2241379310344,58
sector 45,28.4466,77.066,8.49875,25525.5,2897.5,8
sector 46,28.4374,77.0586,3.7954545454545454,19909.090909090908,1516.909090909091,11
sector 47,28.4276,77.0492,2.95,14606.4375,1956.625,16
sector 48,28.4177,77.0359,6.079818181818181,18247.0,3162.2,55
sector 49,28.4121,77.048,3.072666666666667,13809.6,2142.1582222222223,45
sector 5,28.479399999999995,77.0176,1.0699999999999998,7554.761904761905,1199.2857142857142,21
sector 50,28.4178,77.0628,6.735409836065574,22964.819672131147,3097.55737704918,61
sector 51,28.432,77.06859999999999,1.5585714285714285,7031.714285714285,1674.142857142857,7
sector 52,28.437899999999996,77.0785,2.7142857142857144,11035.92857142857,2411.285714285714,14
sector 53,28.4433,77.0948,5.782857142857142,20506.785714285714,2687.714285714286,14
sector 54,28.4348,77.1089,5.334615384615384,19323.73076923077,2338.923076923077,26
sector 55,28.4281,77.11,3.1079999999999997,20680.5,1586.2,10
sector 56,28.4245,77.0991,2.072641509433962,10929.698113207547,1890.8301886792453,53
sector 57,28.4232,77.0752,4.67304347826087,19685.217391304348,2339.217391304348,23
sector 58,28.419999999999998,77.1105,3.2971428571428567,17147.85714285714,1959.142857142857,7
sector 59,28.4051,77.1097,4.875,17476.0,2799.0,8
sector 6,28.4745,77.0262,0.6927272727272727,8099.181818181818,675.6363636363636,11
sector 60,28.4003,77.0975,3.987333333333333,15328.466666666667,2413.866666666667,15
sector 61,28.405,77.0963,2.0882926829268293,14622.609756097561,1490.1463414634147,41
sector 62,28.4139,77.0886,5.65625,17383.5625,2865.1875,16
sector 63,28.3971,77.0867,4.663571428571429,16931.214285714286,2793.0,14
sector 63a,28.3923,77.0888,2.75,16440.933333333334,1613.4666666666667,15
sector 65,28.402999999999995,77.069,3.3097701149425287,15972.068965517241,2063.5862068965516,87
sector 66,28.3925,77.0541,5.640487804878049,19693.219512195123,2648.1341463414633,41
sector 67,28.385899999999996,77.0608,3.122340425531915,13337.72340425532,2042.340425531915,47
sector 67a,28.396,77.0372,1.4185714285714286,10049.857142857143,1364.4285714285713,21
sector 68,28.385299999999997,77.0484,1.2476666666666667,8914.7,1340.0666666666666,30
sector 69,28.3966,77.0341,1.5683870967741933,9225.301075268817,1579.731182795699,93
sector 7,28.4644,77.0143,1.7362857142857142,11287.6,1275.4571428571428,35
sector 70,28.3968,77.0233,1.6304081632653062,8740.795918367347,1732.0,49
sector 71,28.4104,77.0281,0.9485185185185185,7717.111111111111,1223.4814814814815,27
sector 72,28.4225,77.02110000000002,4.163448275862069,12788.655172413793,3101.9310344827586,29
sector 73,28.4072,77.0118,6.3,16116.666666666666,4022.0,3
sector 74,28.4158,77.0118,1.7722222222222224,11790.833333333334,1490.0,18
sector 76,28.3935,76.9888,1.682,9250.266666666666,1793.7333333333333,15
sector 77,28.3801,76.9845,1.3251851851851852,7731.2962962962965,1553.2222222222222,27
sector 78,28.3733,76.9729,1.18625,6397.4375,1701.0,16
sector 79,28.362400000000004,76.9787,1.3844736842105263,8507.421052631578,1516.2894736842106,76
sector 8,28.3738,76.897,0.7457142857142857,8570.0,641.4285714285714,7
sector 80,28.3659,76.9557,1.27,7498.2,1632.8,5
sector 81,28.386700000000005,76.9485,1.9245977011494253,9317.632183908046,1846.7241379310344,87
sector 82,28.3935,76.96,2.0995121951219513,9241.951219512195,1955.9756097560976,41
sector 82a,28.3858,76.9686,2.304736842105263,10120.894736842105,2359.4210526315787,19
sector 83,28.3986,76.9647,1.2632352941176472,7637.470588235294,1536.235294117647,68
sector 84,28.3979,76.9736,0.9677551020408164,6375.102040816327,1425.857142857143,49
sector 85,28.4042,76.9513,1.5000925925925925,7934.37037037037,1820.8055555555557,108
sector 86,28.3986,76.9384,1.2017741935483872,7600.870967741936,1513.967741935484,62
sector 88,28.422,76.9571,0.9800000000000001,7441.0,1333.3333333333333,3
sector 88a,28.4347,76.9557,1.3268181818181817,8955.09090909091,1394.1363636363637,22
sector 89,28.4253,76.9439,1.1017543859649122,8563.526315789473,1334.280701754386,57
sector 9,28.460300000000004,77.0,1.4722727272727274,8986.09090909091,1550.0,22
sector 90,28.4085,76.9369,1.1964044943820225,6383.61797752809,1738.0674157303372,89
sector 91,28.4014,76.9225,1.648235294117647,7586.117647058823,2028.6470588235295,17
sector 92,28.407899999999998,76.9153,0.934,5928.29,1571.3418,100
sector 93,28.4153,76.9326,0.8488888888888889,8009.888888888889,1017.0,9
sector 95,28.4172,76.90809999999999,0.48054545454545455,5602.509090909091,995.9818181818182,55
sector 99,28.463999999999995,76.9614,1.0080952380952382,6412.166666666667,1364.2142857142858,42
