,price,price_per_sqft,built_up_area,latitude,longitude
price,1.0,0.7850373759182386,0.7466410917297773,0.1248269280518221,0.4598873707955064
price_per_sqft,0.7850373759182386,1.0,0.34696815834378253,0.1305768576588319,0.5663931540385262
built_up_area,0.7466410917297773,0.34696815834378253,1.0,0.07916003313064081,0.25465810830568525
latitude,0.1248269280518221,0.1305768576588319,0.07916003313064081,1.0,0.1984660285580529
longitude,0.4598873707955064,0.5663931540385262,0.25465810830568525,0.1984660285580529,1.0
